Block,Date,Power_Consumption,Weekday_Number,Month_Number,Original_Forecast,Deviation_original,Absolute_Deviation_original,Absolute_Percentage_Deviation_original,Model_Forecast,Deviation_model,Absolute_Deviation_model,Absolute_Percentage_Deviation_model
1,15-03-2022,13513,1,3,12660,853,853,6.312439873,13397.5,115.5,115.5,0.85473248
2,15-03-2022,13483,1,3,12640,843,843,6.252317733,13396.5,86.5,86.5,0.641548617
3,15-03-2022,13346,1,3,12620,726,726,5.439832159,13403.5,-57.5,57.5,0.430840701
4,15-03-2022,13288,1,3,12600,688,688,5.177603853,13356.5,-68.5,68.5,0.515502709
5,15-03-2022,13200,1,3,12580,620,620,4.696969697,13290.5,-90.5,90.5,0.685606061
6,15-03-2022,13190,1,3,12550,640,640,4.852160728,13138.5,51.5,51.5,0.390447309
7,15-03-2022,13120,1,3,12520,600,600,4.573170732,13158.5,-38.5,38.5,0.293445122
8,15-03-2022,13097,1,3,12500,597,597,4.558295793,13113,-16,16,0.122165381
9,15-03-2022,13031,1,3,12460,571,571,4.381858645,12979,52,52,0.399048423
10,15-03-2022,13031,1,3,12400,631,631,4.842299133,13062.5,-31.5,31.5,0.241731256
11,15-03-2022,12987,1,3,12340,647,647,4.981904982,13075.5,-88.5,88.5,0.681450681
12,15-03-2022,12964,1,3,12300,664,664,5.121875964,13046,-82,82,0.632520827
13,15-03-2022,12917,1,3,12280,637,637,4.931485639,12948.5,-31.5,31.5,0.243864674
14,15-03-2022,12880,1,3,12260,620,620,4.813664596,12697.5,182.5,182.5,1.416925466
15,15-03-2022,12889,1,3,12240,649,649,5.03530142,12741.5,147.5,147.5,1.144386686
16,15-03-2022,12885,1,3,12200,685,685,5.316259216,12621,264,264,2.048894063
17,15-03-2022,12810,1,3,12260,550,550,4.293520687,12388,422,422,3.294301327
18,15-03-2022,12853,1,3,12280,573,573,4.458103167,12529.5,323.5,323.5,2.516922119
19,15-03-2022,12903,1,3,12360,543,543,4.208323646,12682,221,221,1.712779974
20,15-03-2022,12866,1,3,12400,466,466,3.621949324,12642.5,223.5,223.5,1.737136639
21,15-03-2022,12853,1,3,12520,333,333,2.590834825,12666,187,187,1.45491325
22,15-03-2022,12950,1,3,12700,250,250,1.930501931,12877,73,73,0.563706564
23,15-03-2022,13102,1,3,12880,222,222,1.694397802,13046,56,56,0.427415662
24,15-03-2022,13310,1,3,13000,310,310,2.329075883,13027,283,283,2.126220887
25,15-03-2022,13652,1,3,13300,352,352,2.578376795,13301,351,351,2.571051861
26,15-03-2022,14195,1,3,13750,445,445,3.134906657,13874.5,320.5,320.5,2.257837267
27,15-03-2022,14646,1,3,14200,446,446,3.045200055,14380.5,265.5,265.5,1.812781647
28,15-03-2022,15142,1,3,14500,642,642,4.239862634,14672,470,470,3.10394928
29,15-03-2022,15468,1,3,14650,818,818,5.288337212,15162,306,306,1.978277735
30,15-03-2022,15758,1,3,14725,1033,1033,6.555400432,15348.5,409.5,409.5,2.598680036
31,15-03-2022,15903,1,3,14800,1103,1103,6.935798277,15455.5,447.5,447.5,2.813934478
32,15-03-2022,15736,1,3,15300,436,436,2.770716828,15220.5,515.5,515.5,3.275927809
33,15-03-2022,15558,1,3,15240,318,318,2.04396452,15021.5,536.5,536.5,3.448386682
34,15-03-2022,15601,1,3,15150,451,451,2.890840331,14965.5,635.5,635.5,4.07345683
35,15-03-2022,15554,1,3,15060,494,494,3.176031889,14867.5,686.5,686.5,4.413655651
36,15-03-2022,15473,1,3,15000,473,473,3.056937892,14746,727,727,4.698507077
37,15-03-2022,14777,1,3,15020,-243,243,1.644447452,14740,37,37,0.250389118
38,15-03-2022,15002,1,3,15050,-48,48,0.319957339,14975,27,27,0.179976003
39,15-03-2022,15308,1,3,15080,228,228,1.489417298,15063,245,245,1.600470342
