Block,1-Jan-22,2-Jan-22,3-Jan-22,4-Jan-22,5-Jan-22,6-Jan-22,7-Jan-22,8-Jan-22,9-Jan-22,10-Jan-22,11-Jan-22,12-Jan-22,13-Jan-22,14-Jan-22,15-Jan-22,16-Jan-22,17-Jan-22,18-Jan-22,19-Jan-22,20-Jan-22,21-Jan-22,22-Jan-22,23-Jan-22,24-Jan-22,25-Jan-22,26-Jan-22,27-Jan-22,28-Jan-22,29-Jan-22,30-Jan-22,31-Jan-22
1,9426,8736,8214,10013,10032,10056,10225,10507,10505,9686,10785,11008,11127,10665,9122,8820,9317,10169,10253,10675,10884,11205,11205,10644,11306,11435,10424,11025,11204,11097,10409
2,9550,8711,8276,9954,9983,9999,10153,10473,10553,9658,10762,11143,11163,10652,9124,8777,9304,10165,10209,10629,10771,11153,11213,10630,11207,11381,10421,10960,11132,11078,10393
3,9464,8715,8123,9941,9929,9915,10204,10414,10443,9683,10695,11189,11099,10509,9017,8836,9221,10129,10161,10552,10800,11151,11132,10549,11218,11325,10335,10900,10914,10933,10337
4,9461,8622,8047,9869,9876,9885,10164,10354,10352,9606,10684,11037,11000,10488,9023,8792,9204,10045,10181,10445,10767,10614,11072,10467,11154,11247,10259,10906,11055,10863,10248
5,9391,8592,8027,9758,9766,9838,10156,10377,10289,9638,10659,10996,10960,10390,8965,8737,9125,10046,10136,10268,10723,10547,10991,10424,11128,11198,10209,10863,11017,10768,10190
6,9299,8417,7990,9688,9760,9868,10141,10293,10256,9581,10627,11010,10905,10304,8909,8622,9140,10029,10141,10238,10676,10539,10978,10374,11078,11152,10201,10805,10921,10806,10148
7,9322,8369,7974,9630,9717,9814,10147,10285,10243,9614,10647,10955,10897,10265,8901,8604,9060,9970,9929,10214,10648,10955,10959,10378,11071,11122,10221,10751,10763,10785,10173
8,9257,8398,7979,9692,9723,9809,10070,10285,10255,9590,10655,10922,10893,10212,8902,8577,9011,9960,9980,10255,10600,10863,10944,10381,11039,11110,10194,10732,10709,10691,10119
9,9205,8363,7966,9585,9676,9785,10018,10246,10194,9566,10673,10893,10824,10149,8883,8540,9045,9885,9978,10180,10580,10855,10976,10314,11013,11001,10119,10707,10847,10648,10119
10,9179,8321,7900,9585,9642,9808,10035,10230,10148,9519,10549,10833,10742,10179,8689,8542,8998,9850,9815,10212,10525,10813,10902,10319,10931,11018,10157,10661,10886,10608,10076
11,9190,8326,7850,9582,9609,9752,10026,10222,10133,9535,10589,10793,10746,10139,8693,8556,8937,9842,10023,10223,10515,10182,10882,10253,10905,10999,10080,10632,10845,10631,10104
12,9159,8329,7859,9528,9589,9794,10056,10177,10142,9548,10494,10747,10750,10127,8648,8462,8931,9834,9877,10232,10560,10777,10880,10213,10864,11006,10116,10606,10892,10630,10035
13,9118,8250,7863,9536,9571,9711,10039,10209,10095,9540,10549,10740,10802,10100,8695,8416,8930,9819,9946,10222,10544,10777,10873,10217,10796,10959,10120,10780,10797,10478,10057
14,9068,8176,7902,9541,9588,9877,10076,10140,10095,9523,10489,10775,10756,10092,8725,8481,8875,9835,9864,10239,10563,10774,10827,10243,10823,10959,10079,10723,10608,10507,10032
15,9094,8185,7843,9518,9600,9801,10075,10119,10084,9454,10528,10695,10805,10076,8763,8478,8886,9851,9918,10261,10509,10687,10823,10264,10839,10944,10133,10740,10562,10449,10064
16,9125,8148,7934,9432,9518,9859,10108,10224,10086,9492,10388,10786,10837,10020,8725,8473,8966,9843,9991,10195,10373,10144,10764,10140,10725,10854,10090,10774,10488,10459,10059
17,9233,8262,7992,9395,9378,9997,10011,10151,9963,9438,10357,10643,10915,10049,8611,8321,9001,9804,9800,10148,10477,10147,10771,10066,10644,10771,10048,10699,10295,10437,10020
18,9248,8324,8103,9537,9510,9983,10105,10161,9867,9554,10399,10667,10812,10071,8650,8347,8944,9658,9845,10238,10466,10191,10604,10090,10684,10811,10084,10761,10342,10314,9957
19,9331,8454,8212,9562,9616,10079,10214,10233,9950,9689,10464,10755,10876,10237,8642,8364,8802,9603,9970,10183,10592,10236,10583,10160,10752,10776,10100,10853,10463,10387,10065
20,9442,8595,8337,9701,9802,10100,10344,10381,9945,9746,10586,10806,10981,10320,8734,8377,8868,9764,10005,10267,10626,10160,10603,10198,10785,10789,10166,10761,10595,10405,10123
21,9581,8735,8571,9872,9982,10329,10533,10573,9970,10001,10755,10966,11147,10417,8795,8431,8949,9902,10088,10305,10756,10366,10570,10325,10817,10734,10234,10801,10531,10428,10275
22,9649,8736,8719,10208,10237,10476,10692,10699,10007,10090,10899,11151,11238,10572,8925,8414,8992,9946,10208,10408,10820,10534,10649,10394,10979,10785,10429,10992,10716,10556,10423
23,9817,8868,8966,10409,10464,10628,10885,10860,10213,10281,11070,11324,11407,10758,9018,8531,9208,9998,10379,10618,11024,10630,10711,10584,11116,10970,10570,11185,10888,10642,10520
24,9985,9044,9071,10597,10876,10775,11020,11028,10246,10443,11127,11408,11661,10864,9073,8558,9376,10191,10573,10734,11088,10786,10732,10763,11366,11004,10819,11265,11096,10719,10819
25,10192,9094,9762,10870,10995,11015,11268,11213,10302,10746,11469,11714,11828,10979,9263,8636,9575,10352,10846,10965,11314,10973,10804,11049,11551,11180,11063,11496,11387,10835,11174
26,10551,9305,10067,11293,11421,11463,11688,11475,10432,11153,11781,12056,12142,11132,9423,8863,9924,10682,11173,11365,11644,11262,10890,11363,11921,11401,11369,11899,11566,11015,11502
27,10941,9538,10596,11678,11958,11899,12090,11948,10827,11648,12322,12529,12441,11330,9710,9134,10288,11040,11619,11771,12128,11758,11207,11792,12339,11774,11706,12259,12045,11184,11962
