Block,1-Mar-22,2-Mar-22,3-Mar-22,4-Mar-22,5-Mar-22,6-Mar-22,7-Mar-22,8-Mar-22,9-Mar-22,10-Mar-22,11-Mar-22,12-Mar-22,13-Mar-22,14-Mar-22,15-Mar-22,16-Mar-22,17-Mar-22,18-Mar-22,19-Mar-22,20-Mar-22,21-Mar-22,22-Mar-22,23-Mar-22,24-Mar-22,25-Mar-22,26-Mar-22,27-Mar-22,28-Mar-22,29-Mar-22,30-Mar-22,31-Mar-22
1,12946,12167,12390,12615,12569,12988,11337,12029,12392,12812,13135,13259,13170,12209,13513,13484,13958,13850,13008,13570,12408,13539,13783,13859,14169,14165,14482,13616,14696,14573,14445
2,12847,12079,12318,12517,12628,12945,11215,11970,12356,12953,13120,13189,13222,12164,13483,13374,13843,13714,13003,13529,12372,13533,13702,13734,14070,13890,14281,13559,14543,14657,14401
3,12714,12015,12257,12480,12706,12869,11201,11892,12257,12926,12986,13085,13173,12101,13346,13333,13765,13626,12808,13364,12267,13402,13757,13628,13906,13023,14238,13568,14530,14527,14224
4,12653,11968,12168,12448,12520,12821,11178,11816,12261,12826,12933,12929,13135,12069,13288,13244,13659,13474,12862,13342,12192,13338,13747,13547,13829,13870,14215,13506,14533,14453,14158
5,12604,11823,12166,12391,12496,12690,11129,11796,12123,12723,12727,12917,13042,11950,13200,13197,13577,13402,12715,13204,12178,13285,13556,13374,13662,13816,14113,13411,14482,14368,14214
6,12588,11792,12164,12377,12392,12730,11084,11834,12050,12741,12735,12983,12976,11882,13190,13103,13412,13349,12634,13272,12074,13192,13581,13357,13638,13847,14004,13420,14396,14297,14133
7,12553,11771,12117,12463,12357,12640,11052,11773,12027,12051,12667,12915,12918,11867,13120,13051,13366,13337,12632,13264,12006,13129,13534,13298,13586,13749,12901,13324,14336,14256,14100
8,12519,11753,12040,12384,12353,12626,10912,11695,12072,12113,12575,12853,12901,11877,13097,13063,13369,13337,12491,13204,11963,13048,13468,13287,13703,13737,13820,13356,14316,14188,14071
9,12510,11672,12014,12372,12307,12573,10858,11710,12020,12089,12506,12919,12851,11900,13031,12949,13245,13266,12438,13261,11729,12944,13468,13220,13627,13678,13773,13279,14200,14140,13964
10,12461,11648,12023,12354,12232,12526,10772,11673,12023,12144,12511,12911,12860,11788,13031,12906,13194,13175,12391,13227,11590,12873,13423,13124,13618,13687,13742,13143,14093,14165,14015
11,12441,11763,12013,12351,12213,12560,10798,11615,11961,12121,12462,12865,12814,11790,12987,12889,13257,13148,12378,13240,11488,12871,13507,13226,13566,13659,13623,13078,14041,13947,13951
12,12446,11798,11907,12311,12195,12503,10781,11660,11890,12099,12427,12868,12825,11771,12964,12865,13211,13179,12341,13186,11387,12823,13454,13204,13473,13750,13600,12993,13988,13832,13874
13,12432,11772,11831,12322,12188,12357,10764,11610,11897,12085,12412,12847,12808,11747,12917,12768,13158,13225,12243,13078,11467,12678,13419,13164,13413,13613,13440,12900,13800,13670,13777
14,12528,11789,11886,12338,12143,12223,10684,11599,11844,12022,12447,12733,12553,11754,12880,12831,13107,13207,11953,12994,11433,12635,13228,13179,13454,13655,13345,12795,13696,13553,13691
15,12401,11840,11902,12344,12141,12134,10581,11611,11971,11997,12362,12759,12554,11714,12889,12808,13112,13163,11948,12922,11454,12560,13128,13132,13456,13537,13189,12680,13593,13520,13605
16,12354,11839,11921,12331,12152,12177,10633,11479,11937,11983,12385,12747,12468,11666,12885,12779,13170,13159,11874,12844,11460,12477,13087,13158,13390,13467,13184,12667,13488,13333,13545
17,12241,11890,11872,12260,12136,12254,10607,11328,11991,11818,12338,12696,12390,11733,12810,12735,13082,13229,11911,12774,11506,12316,13073,13071,13366,13368,13193,12665,13340,13309,13325
18,12299,11993,11862,12261,12148,12292,10620,11368,11920,11820,12345,12685,12395,11629,12853,12847,13119,13188,11893,12603,11475,12331,13180,13050,13287,13310,13193,12559,13296,13330,13322
19,12314,12047,11919,12267,12137,12255,10678,11436,12068,11843,12409,12521,12409,11667,12903,12850,12957,13159,11902,12456,11461,12316,13116,13010,13414,13341,13207,12467,13305,13243,13260
